name,fat,carbohydrat,protein,Fe,Mg,Na,K,Ca,Zn,Se,Cu,C,D,B12,E,A
cantaloupe,0.0,3.0,2.0,2.0,0.0,1.0,0,1.0,0.0,0.0,0.0,40.0,0,0,0,0
capers,0.0,2.0,0.0,7.0,0.0,116.0,0,0.0,0.0,0.0,0.0,4.0,0,0,0,0
caraway,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
cardamom,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
carrot,0.0,4.0,2.0,1.0,3.0,3.0,9,3.0,2.0,0.0,6.0,5.0,0,0,4,85
cashew,68.0,11.0,24.0,27.0,49.0,13.0,25,5.0,40.0,17.0,195.0,0.0,0,0,34,0
cauliflower,0.0,2.0,5.0,3.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
caviar,23.0,1.0,49.0,66.0,71.0,65.0,0,21.0,9.0,119.0,12.0,0.0,14,833,13,30
celery,0.0,1.0,0.0,2.0,0.0,5.0,0,3.0,0.0,0.0,0.0,9.0,0,0,0,0
chambord,0.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
champagne,0.0,4.0,0.0,1.0,2.0,0.0,0,1.0,1.0,0.0,4.0,4.0,0,0,0,0
chard,4.0,1.0,4.0,10.0,20.0,15.0,722,4.0,3.0,2.0,21.0,24.0,0,0,16,35
chartreuse,0.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
cheddar,41.0,0.0,50.0,0.0,0.0,28.0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0
cherry,0.0,15.0,8.0,8.0,0.0,9.0,0,3.0,0.0,0.0,0.0,0.0,0,0,0,0
chestnut,1.0,16.0,8.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27.0,0,0,0,0
chicken,2.0,0.0,43.0,0.0,0.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
chickpea,8.0,22.0,38.0,34.0,0.0,1.0,0,8.0,0.0,0.0,0.0,4.0,0,0,0,0
chile,22.0,4.0,16.0,4.0,4.0,19.0,11,16.0,11.0,14.0,5.0,44.0,0,15,13,8
chile pepper,7.0,25.0,21.0,34.0,21.0,4.0,90,3.0,9.0,6.0,25.0,35.0,0,0,21,147
chive,1.0,2.0,7.0,9.0,10.0,0.0,177,7.0,5.0,2.0,17.0,65.0,0,0,1,24
chocolate,57.0,17.0,6.0,24.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
cilantro,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
cinnamon,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
citrus,0.0,4.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,28.0,0,0,0,0
clam,10.0,4.0,24.0,7.0,5.0,20.0,7,3.0,7.0,38.0,8.0,18.0,1,168,5,7
clove,17.0,24.0,12.0,66.0,62.0,12.0,118,49.0,21.0,13.0,41.0,0.0,0,0,59,1
coconut,46.0,17.0,7.0,11.0,0.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
cod,4.0,2.0,25.0,5.0,0.0,18.0,0,3.0,0.0,0.0,0.0,4.0,0,0,0,0
coffee,31.0,8.0,5.0,0.0,0.0,4.0,0,4.0,0.0,0.0,0.0,0.0,0,0,0,0
collard greens,0.0,2.0,5.0,0.0,0.0,1.0,0,9.0,0.0,0.0,0.0,39.0,0,0,0,0
