name,fat,carbohydrat,protein,Fe,Mg,Na,K,Ca,Zn,Se,Cu,C,D,B12,E,A
pomegranate juice,0.0,4.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,11.0,220,0,0,0
poppy,43.0,9.0,2.0,1.0,2.0,41.0,42,5.0,2.0,2.0,4.0,0.0,0,4,16,6
pork,5.0,0.0,42.0,7.0,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
pork chop,12.0,3.0,37.0,4.0,5.0,18.0,3,1.0,12.0,74.0,8.0,0.0,2,17,3,3
pork rib,19.0,4.0,32.0,5.0,4.0,29.0,0,3.0,20.0,41.0,11.0,0.0,4,21,3,1
pork tenderloin,3.0,1.0,36.0,0.0,0.0,13.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
port,36.0,0.0,48.0,2.0,6.0,23.0,2,50.0,24.0,26.0,2.0,0.0,110,62,2,35
potato,15.0,5.0,8.0,4.0,3.0,10.0,7,3.0,4.0,11.0,2.0,1.0,2,12,10,7
prosciutto,27.0,0.0,50.0,7.0,0.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
prune,0.0,24.0,4.0,16.0,0.0,1.0,0,2.0,0.0,0.0,0.0,5.0,0,0,0,11
pumpkin,0.0,3.0,2.0,9.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
quail,18.0,0.0,50.0,24.0,5.0,9.0,4,1.0,28.0,39.0,66.0,3.0,1,15,5,8
quince,0.0,6.0,1.0,4.0,2.0,0.0,0,1.0,0.0,1.0,14.0,17.0,0,0,0,0
quinoa,9.0,23.0,29.0,21.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
rabbit,11.0,0.0,60.0,13.0,5.0,15.0,1,2.0,21.0,69.0,19.0,0.0,0,269,3,0
rack of lamb,13.0,0.0,40.0,8.0,5.0,3.0,0,1.0,20.0,5.0,11.0,0.0,21,43,2,1
radicchio,0.0,1.0,4.0,2.0,3.0,2.0,142,2.0,8.0,0.0,84.0,7.0,0,0,0,0
radish,0.0,1.0,1.0,2.0,2.0,2.0,1,2.0,3.0,1.0,6.0,16.0,0,0,0,0
raisin,5.0,19.0,20.0,17.0,0.0,15.0,0,3.0,0.0,0.0,0.0,7.0,0,0,0,0
raspberry,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
red wine,0.0,1.0,0.0,3.0,3.0,0.0,0,1.0,1.0,0.0,1.0,0.0,0,0,0,0
rhubarb,0.0,6.0,2.0,1.0,3.0,0.0,22,6.0,1.0,2.0,2.0,6.0,0,0,2,0
rice,3.0,10.0,7.0,10.0,0.0,20.0,0,2.0,0.0,0.0,0.0,3.0,0,0,0,0
ricotta,12.0,2.0,19.0,2.0,4.0,4.0,0,19.0,9.0,20.0,2.0,0.0,1,23,1,13
root vegetable,0.0,6.0,3.0,4.0,9.0,0.0,1,3.0,3.0,1.0,9.0,3.0,0,0,3,0
rosemary,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
rosé,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
rum,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
rutabaga,0.0,3.0,2.0,2.0,0.0,0.0,0,3.0,0.0,0.0,0.0,27.0,0,0,0,0
rye,3.0,18.0,14.0,16.0,0.0,28.0,0,5.0,0.0,0.0,0.0,0.0,0,0,0,0
saffron,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
sage,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
sake,0.0,2.0,1.0,1.0,1.0,0.0,0,0.0,0.0,3.0,1.0,0.0,0,0,0,0
salmon,10.0,1.0,30.0,3.0,0.0,14.0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,0
sangria,0.0,36.0,0.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0.0,4.0,0,0,0,0
sardine,10.0,8.0,36.0,17.0,8.0,16.0,1,24.0,10.0,72.0,18.0,0.0,14,207,8,2
scallop,16.0,5.0,22.0,7.0,5.0,20.0,10,1.0,8.0,23.0,5.0,0.0,0,39,15,0
seed,3.0,12.0,11.0,3.0,12.0,1.0,0,5.0,8.0,0.0,119.0,7.0,0,0,0,1
semolina,3.0,28.0,22.0,19.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
sesame,58.0,3.0,6.0,3.0,0.0,43.0,47,1.0,1.0,3.0,0.0,0.0,0,0,33,0
sesame oil,128.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0,0,9,0
shallot,0.0,6.0,5.0,7.0,5.0,1.0,1,3.0,4.0,2.0,10.0,9.0,0,0,0,0
sherry,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
shrimp,0.0,0.0,24.0,2.0,0.0,21.0,0,5.0,0.0,0.0,0.0,0.0,0,0,0,0
snapper,2.0,0.0,41.0,0.0,0.0,3.0,0,2.0,0.0,0.0,0.0,0.0,2000,0,0,0
sour cream,21.0,2.0,7.0,0.0,0.0,2.0,0,10.0,0.0,0.0,0.0,0.0,0,0,0,0
sourdough,4.0,26.0,21.0,6.0,0.0,35.0,0,2.0,0.0,0.0,0.0,6.0,0,0,0,0
soy,9.0,19.0,53.0,29.0,40.0,37.0,10,13.0,14.0,22.0,273.0,0.0,0,0,7,0
soy sauce,1.0,2.0,16.0,8.0,18.0,239.0,0,3.0,8.0,1.0,5.0,0.0,0,0,0,0
sparkling wine,0.0,1.0,0.0,2.0,2.0,0.0,0,1.0,1.0,0.0,1.0,0.0,0,0,0,0
spice,16.0,25.0,12.0,109.0,32.0,2.0,24,52.0,22.0,17.0,54.0,26.0,0,0,13,1
spinach,0.0,1.0,7.0,18.0,0.0,4.0,0,7.0,0.0,0.0,0.0,31.0,0,0,0,0
squash,4.0,2.0,1.0,2.0,3.0,6.0,2,2.0,2.0,1.0,4.0,4.0,0,0,3,2
squid,21.0,1.0,29.0,7.0,0.0,28.0,0,6.0,0.0,0.0,0.0,0.0,0,0,0,0
strawberry,0.0,24.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
sugar snap pea,0.0,3.0,5.0,4.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0,0,0,0
swiss cheese,33.0,2.0,52.0,0.0,0.0,9.0,0,67.0,0.0,0.0,0.0,0.0,0,0,0,0
swordfish,15.0,3.0,44.0,5.0,8.0,15.0,3,1.0,7.0,113.0,7.0,0.0,73,68,19,6
tamarind,1.0,23.0,6.0,16.0,22.0,1.0,2,6.0,1.0,2.0,10.0,4.0,0,0,1,0
tangerine,0.0,5.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
tapioca,0.0,30.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
tarragon,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
tea,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
tequila,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
thyme,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
tilapia,5.0,1.0,38.0,4.0,0.0,19.0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,0
tomatillo,1.0,2.0,2.0,3.0,5.0,0.0,8,1.0,2.0,1.0,9.0,13.0,0,0,3,1
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
tortillas,2.0,14.0,7.0,7.0,0.0,0.0,0,11.0,0.0,0.0,0.0,0.0,0,0,0,0
tree nut,0.0,4.0,1.0,1.0,1.0,10.0,0,1.0,3.0,2.0,22.0,33.0,0,0,0,1
tree nut free,0.0,4.0,1.0,1.0,1.0,10.0,0,1.0,3.0,2.0,22.0,33.0,0,0,0,1
triple sec,0.0,23.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
tropical fruit,0.0,5.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,43.0,0,0,0,7
trout,22.0,4.0,34.0,6.0,6.0,17.0,10,3.0,4.0,38.0,7.0,2.0,60,124,27,6
tuna,5.0,4.0,11.0,4.0,0.0,19.0,0,3.0,0.0,0.0,0.0,6.0,0,0,0,0
turnip,0.0,1.0,5.0,9.0,4.0,1.0,0,9.0,1.0,2.0,6.0,29.0,0,0,0,34
vanilla,21.0,8.0,7.0,2.0,3.0,3.0,1,9.0,4.0,6.0,1.0,0.0,2,16,3,20
veal,11.0,2.0,36.0,6.0,6.0,6.0,14,1.0,11.0,33.0,14.0,2.0,2,67,4,5
venison,32.0,0.0,40.0,14.0,5.0,36.0,1,1.0,34.0,19.0,11.0,0.0,2,73,3,1
vermouth,14.0,0.0,0.0,0.0,0.0,73.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
vinegar,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,0,0,0
vodka,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
walnut,49.0,14.0,21.0,21.0,0.0,2.0,0,16.0,0.0,0.0,0.0,0.0,0,0,0,0
wasabi,14.0,17.0,4.0,3.0,5.0,147.0,3,3.0,6.0,4.0,6.0,0.0,0,0,26,0
watercress,4.0,0.0,5.0,1.0,5.0,8.0,219,10.0,1.0,2.0,9.0,35.0,0,0,10,19
watermelon,0.0,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
white wine,0.0,1.0,0.0,2.0,2.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0
wild rice,1.0,28.0,27.0,9.0,0.0,0.0,0,0.0,30.0,0.0,0.0,0.0,0,0,0,0
windsor,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
yellow squash,0.0,1.0,2.0,2.0,0.0,0.0,0,2.0,0.0,0.0,0.0,20.0,0,0,0,0
yogurt,5.0,2.0,7.0,0.0,3.0,2.0,0,10.0,6.0,0.0,0.0,0.0,0,15,0,0
yuca,0.0,11.0,2.0,7.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
zucchini,0.0,2.0,2.0,2.0,0.0,0.0,0,2.0,0.0,0.0,0.0,14.0,0,0,0,0
milk,3,2,7,0,0,2,0,10,0,0,0,1,210,0,0,0
butterscotch/caramel,0,21,2,0,1,15,0,4,0,2,0,1,0,8,0,2
milk/cream,7,4,4,3,2,22,0,6,2,3,1,0,0,10,3,0
green/onion/scallion,0,0,1,6,4,0,0,5,2,0,4,0,0,0,0,0
phyllo/puff/pastry dough,8,19,14,18,4,21,2,1,4,42,11,0,0,0,1,0
sweet/potato/yam,0,8,1,5,,1,0,1,0,0,0,12,0,0,0,0
cognac/armagnac,59,16,7,40,0,4,0,5,0,0,0,0,0,0,0,0
